Water_SYSTEM.PWSID,Water_SYSTEM.PWS_NAME,Water_SYSTEM.NPM_CANDIDATE,Water_SYSTEM.PRIMACY_AGENCY_CODE,Water_SYSTEM.EPA_REGION,Water_SYSTEM.SEASON_BEGIN_DATE,Water_SYSTEM.SEASON_END_DATE,Water_SYSTEM.PWS_ACTIVITY_CODE,Water_SYSTEM.PWS_DEACTIVATION_DATE,Water_SYSTEM.PWS_TYPE_CODE,Water_SYSTEM.DBPR_SCHEDULE_CAT_CODE,Water_SYSTEM.CDS_ID,Water_SYSTEM.GW_SW_CODE,Water_SYSTEM.LT2_SCHEDULE_CAT_CODE,Water_SYSTEM.OWNER_TYPE_CODE,Water_SYSTEM.POPULATION_SERVED_COUNT,Water_SYSTEM.POP_CAT_2_CODE,Water_SYSTEM.POP_CAT_3_CODE,Water_SYSTEM.POP_CAT_4_CODE,Water_SYSTEM.POP_CAT_5_CODE,Water_SYSTEM.POP_CAT_11_CODE,Water_SYSTEM.PRIMACY_TYPE,Water_SYSTEM.PRIMARY_SOURCE_CODE,Water_SYSTEM.IS_GRANT_ELIGIBLE_IND,Water_SYSTEM.IS_WHOLESALER_IND,Water_SYSTEM.IS_SCHOOL_OR_DAYCARE_IND,Water_SYSTEM.SERVICE_CONNECTIONS_COUNT,Water_SYSTEM.SUBMISSION_STATUS_CODE,Water_SYSTEM.ORG_NAME,Water_SYSTEM.ADMIN_NAME,Water_SYSTEM.EMAIL_ADDR,Water_SYSTEM.PHONE_NUMBER,Water_SYSTEM.PHONE_EXT_NUMBER,Water_SYSTEM.FAX_NUMBER,Water_SYSTEM.ALT_PHONE_NUMBER,Water_SYSTEM.ADDRESS_LINE1,Water_SYSTEM.ADDRESS_LINE2,Water_SYSTEM.CITY_NAME,Water_SYSTEM.ZIP_CODE,Water_SYSTEM.COUNTRY_CODE,Water_SYSTEM.STATE_CODE,Water_SYSTEM.SOURCE_WATER_PROTECTION_CODE,Water_SYSTEM.SOURCE_PROTECTION_BEGIN_DATE,Water_SYSTEM.OUTSTANDING_PERFORMER,Water_SYSTEM.OUTSTANDING_PERFORM_BEGIN_DATE,Water_SYSTEM.CITIES_SERVED,Water_SYSTEM.COUNTIES_SERVED,X48
PR0004595,PITAHAYA,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,GW,NA,S,5396,1,2,1,3,5,Territory,GW,N,N,N,240,Y,NA,PITAHAYA,NA,809-754-3232,NA,NA,NA,NA,ROAD 753 2.5 KM,ARROYO,00615,US,PR,NA,NA,NA,NA,PITAHAYA,Arroyo Municipio,NA
PR0004615,BARRANCAS VIEJO,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,SW,NA,S,160,1,1,1,1,2,Territory,SW,N,N,N,40,Y,NA,BARRANCAS VIEJO,NA,809-754-3232,NA,NA,NA,NA,ROAD 771 2.4 KM,BARRANQUITAS,00618,US,PR,NA,NA,NA,NA,BARRANCAS,Barranquitas Municipio,NA
PR0004645,GUAVATE,N,PR,02,NA,NA,I,23-JAN-06,CWS,NA,NA,SW,NA,L,7556,1,2,1,3,5,Territory,SW,N,N,N,1889,Y,NA,NA,NA,787-620-2277,NA,NA,NA,CARR.184 KM. 27.5,NA,CAYEY,00660,US,PR,NA,NA,NA,NA,"CAYEY,GUAVATE",Cayey Municipio,NA
PR0004655,CEDRO,N,PR,02,01-01,12-31,N,04-JAN-10,CWS,NA,NA,SW,NA,L,856,1,1,1,2,3,Territory,SW,N,N,Y,214,Y,NA,CEDRO,NA,787-758-5757,NA,NA,NA,CARR. 738 KM. 6.5,NA,CAYEY,00660,US,PR,N,NA,NA,NA,"CAYEY,CEDRO",Cayey Municipio,NA
PR0004675,JAJOME BAJO,N,PR,02,01-01,12-31,N,04-JAN-10,CWS,NA,NA,SW,NA,L,497,1,1,1,1,2,Territory,SW,N,N,Y,124,Y,NA,JAJOME BAJO,NA,787-758-5757,NA,NA,NA,CARR. 708 KM 3.3,NA,CAYEY,00660,US,PR,N,NA,NA,NA,"CAYEY,JAJOME BAJO",Cayey Municipio,NA
PR0004685,MATON RURAL,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,GW,NA,S,1244,1,1,1,2,4,Territory,GW,N,N,N,160,Y,NA,MATON RURAL,NA,809-754-3232,NA,NA,NA,NA,ROAD 730 2.8 KM,CAYEY,00633,US,PR,NA,NA,NA,NA,MATON,Cayey Municipio,NA
PR0004715,NARANJO,N,PR,02,NA,NA,I,01-MAY-12,CWS,NA,NA,GW,NA,L,2822,1,1,1,2,4,Territory,GW,N,N,N,338,Y,NARANJO,NARANJO,NA,787-620-2277,NA,NA,NA,CARR. 791 KM 0.5,NA,COMERIO,00782,US,PR,N,NA,NA,NA,COMERIO,Comerio Municipio,NA
PR0004725,CEDRITO,N,PR,02,NA,NA,I,10-MAR-08,CWS,NA,NA,SW,NA,L,5388,1,2,1,3,5,Territory,SW,N,N,Y,1347,Y,CEDRITO,CEDRITO,NA,787-620-2277,NA,NA,NA,CARR.172 KM. 2.7,NA,COMERIO,00782,US,PR,NA,NA,NA,NA,COMERIO,Comerio Municipio,NA
PR0004735,PALOMAS,N,PR,02,01-01,12-31,N,05-JAN-10,CWS,NA,NA,SW,NA,L,800,1,1,1,2,3,Territory,SW,N,N,Y,200,Y,NA,NA,NA,787-620-2277,NA,NA,NA,BO. PALOMAS,NA,COMERIO,00782,US,PR,N,NA,NA,NA,COMERIO,Comerio Municipio,NA
PR0004755,GUAMANI,N,PR,02,01-01,12-31,N,31-AUG-15,CWS,NA,NA,SW,NA,L,1056,1,1,1,2,4,Territory,SW,N,N,Y,264,Y,GUAMANI,GUAMANI,NA,787-620-2277,NA,NA,NA,CARR.179 KM 5,NA,GUAYAMA,00784,US,PR,N,NA,NA,NA,"BO GUAMANI,GUAYAMA",Guayama Municipio,NA
PR0004775,PUENTE JOBOS,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,GW,NA,S,4296,1,2,1,3,5,Territory,GW,N,N,N,1059,Y,NA,PUENTE JOBOS,NA,809-754-3232,NA,NA,NA,NA,NA,GUAYAMA,00654,US,PR,NA,NA,NA,NA,BO PUENTE JOBOS,Guayama Municipio,NA
PR0004785,CARMEN,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,SW,NA,S,592,1,1,1,2,3,Territory,SW,N,N,N,129,Y,NA,CARMEN,NA,809-754-3232,NA,NA,NA,NA,ROAD 712 12.55 KM,GUAYAMA,00654,US,PR,NA,NA,NA,NA,BO CARMEN,Guayama Municipio,NA
PR0004795,CARITE,N,PR,02,NA,NA,I,17-JAN-07,CWS,NA,NA,SW,NA,L,1352,1,1,1,2,4,Territory,SW,N,N,Y,338,Y,CARITE,CARITE,NA,787-620-2277,NA,NA,NA,CARR. 179 KM. 17.5,NA,GUAYAMA,00784,US,PR,NA,NA,NA,NA,"CARITE,GUAYAMA",Guayama Municipio,NA
PR0004805,MAREAS,N,PR,02,01-01,12-31,I,01-JAN-81,CWS,NA,NA,GW,NA,S,956,1,1,1,2,3,Territory,GW,N,N,N,239,Y,NA,MAREAS,NA,809-754-3232,NA,NA,NA,NA,ROAD 710 2.4 KM,GUAYAMA,00654,US,PR,NA,NA,NA,NA,BO MAREAS,Guayama Municipio,NA
PR0004825,MATUYAS,N,PR,02,NA,NA,I,30-JUN-17,CWS,NA,NA,SW,NA,L,699,1,1,1,2,3,Territory,SW,N,N,N,327,Y,MATUYAS,MATUYAS,NA,787-620-2277,NA,NA,NA,CARR. 759 KM. 8.8,NA,MAUNABO,00707,US,PR,N,NA,NA,NA,"BO MATUYAS,MAUNABO",Maunabo Municipio,NA
PR0004855,LOS POLLOS,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,SW,NA,S,3812,1,2,1,3,5,Territory,SW,N,N,N,753,Y,NA,LOS POLLOS,NA,809-754-3232,NA,NA,NA,NA,ROAD 757 KM 2.0,PATILLAS,00723,US,PR,NA,NA,NA,NA,BO LOS POLLOS,Patillas Municipio,NA
PR0004865,MARIN ALTO,N,PR,02,01-01,12-31,N,05-JAN-10,CWS,NA,NA,SW,NA,L,840,1,1,1,2,3,Territory,SW,N,N,Y,210,Y,NA,NA,NA,787-620-2277,NA,NA,NA,CARR. 181,NA,PATILLAS,00723,US,PR,N,NA,NA,NA,"MARIN ALTO,PATILLAS",Patillas Municipio,NA
PR0004875,FELICITA,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,GW,NA,S,800,1,1,1,2,3,Territory,GW,N,N,N,200,Y,NA,FELICITA,NA,809-754-3232,NA,NA,NA,NA,COLONIA FELICITA PATILLAS,PATILLAS,00723,US,PR,NA,NA,NA,NA,Not Reported,Patillas Municipio,NA
PR0004905,LAS MAREAS,N,PR,02,NA,NA,I,01-MAY-12,CWS,NA,NA,GW,NA,L,516,1,1,1,2,3,Territory,GW,N,N,N,349,Y,LAS MAREAS,LAS MAREAS,NA,787-620-2277,NA,NA,NA,CARR. 703 KM 2.7,NA,SALINAS,00751,US,PR,N,NA,NA,NA,"BO LAS MAREAS,SALINAS",Salinas Municipio,NA
PR0004935,PRASA,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,SW,NA,S,5000,1,2,1,3,5,Territory,SW,N,N,N,1250,Y,NA,PRASA,NA,809-754-3230,NA,NA,NA,NA,ROAD 173 KM 2.7,AIBONITO-B,NA,US,PR,NA,NA,NA,NA,AIBONITO,Aibonito Municipio,NA
PR0005036,BAYAMONCITO,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,GW,NA,L,600,1,1,1,2,3,Territory,GW,N,N,N,150,Y,NA,BAYAMONCITO,NA,809-758-5757,NA,NA,NA,NA,NA,AGUAS BUENAS.,00703,US,PR,NA,NA,NA,NA,AGUAS BUENAS,Aguas Buenas Municipio,NA
PR0005056,LAS CAROLINAS,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,GW,NA,S,2460,1,1,1,2,4,Territory,GW,N,N,N,820,Y,NA,LAS CAROLINAS,NA,809-754-3232,NA,NA,NA,NA,ROAD 156 55.9KM,CAGUAS,00625,US,PR,NA,NA,NA,NA,CAGUAS,Caguas Municipio,NA
PR0005076,LAKE VIEW,N,PR,02,NA,NA,I,01-JUL-99,CWS,NA,NA,GW,NA,L,1376,1,1,1,2,4,Territory,GW,N,N,N,344,Y,NA,LAKE VIEW,NA,787-758-5757,NA,NA,NA,CARR. 1 R 976 KM. 2.2,LAKE VIEW,CAGUAS,00725,US,PR,NA,NA,NA,NA,"CAGUAS,LAKE VIEW",Caguas Municipio,NA
PR0005116,JAGUAL,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,SW,NA,S,604,1,1,1,2,3,Territory,SW,N,N,N,201,Y,NA,JAGUAL,NA,809-754-3232,NA,NA,NA,NA,ROAD 181 R765 3.7KM,SAN LORENZO,00754,US,PR,NA,NA,NA,NA,JAGUAL,San Lorenzo Municipio,NA
PR0005126,QUEBRADA HONDA,N,PR,02,NA,NA,I,28-AUG-09,CWS,NA,NA,SW,NA,L,328,1,1,1,1,2,Territory,SW,N,N,N,82,Y,QUEBRADA HONDA,QUEBRADA HONDA,NA,787-620-2277,NA,NA,NA,CARR. 181 KM. 10.3,NA,SAN LORENZO,00754,US,PR,N,NA,NA,NA,SAN LORENZO,San Lorenzo Municipio,NA
PR0005146,QUEBRADA ARENAS,N,PR,02,NA,NA,I,30-DEC-09,CWS,NA,NA,SW,NA,L,820,1,1,1,2,3,Territory,SW,N,N,N,205,Y,QUEBRADA ARENAS,QUEBRADA ARENAS,NA,787-620-2277,NA,NA,NA,CARR. 183 R916 KM6.3,NA,SAN LORENZO,00754,US,PR,N,NA,NA,NA,"QUEBRADA ARENAS,SAN LORENZO",San Lorenzo Municipio,NA
PR0005156,CAIMITO,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,SW,NA,S,60,1,1,1,1,1,Territory,SW,N,N,N,20,Y,NA,CAIMITO,NA,809-754-3232,NA,NA,NA,NA,ROAD 947 DEAD END,JUNCOS,00666,US,PR,NA,NA,NA,NA,CAIMITO,Juncos Municipio,NA
PR0005176,HUMACAO-LAS PIEDRAS,N,PR,02,01-01,12-31,I,01-JUN-87,CWS,NA,NA,SW,NA,S,50452,2,3,3,4,7,Territory,SW,N,N,N,16817,Y,NA,HUMACAO-LAS PIEDRAS,NA,809-754-3232,NA,NA,NA,NA,ROAD 198 28.3KM,HUMACAO,00661,US,PR,NA,NA,NA,NA,HUMACAO,Humacao Municipio,NA
PR0005206,LIMONES,N,PR,02,NA,NA,I,22-JAN-09,CWS,NA,NA,GW,NA,L,10308,2,2,2,4,6,Territory,GW,N,N,N,2243,Y,LIMONES,LIMONES,NA,787-620-2277,NA,NA,NA,CARR. 3 KM. 4.2,NA,YABUCOA,00767,US,PR,NA,NA,NA,NA,"LIMONES,YABUCOA",Yabucoa Municipio,NA
PR0005216,LA MALOJA,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,GW,NA,L,160,1,1,1,1,2,Territory,GW,N,N,N,40,Y,NA,LA MALOJA,NA,809-758-5757,NA,NA,NA,NA,ROAD 901 R9901 2.5KM,YABUCOA,00767,US,PR,NA,NA,NA,NA,MALOJA,Yabucoa Municipio,NA
PR0005226,GUAYANES I,N,PR,02,NA,NA,I,20-MAR-15,CWS,NA,NA,GW,NA,L,2006,1,1,1,2,4,Territory,GW,N,N,N,242,Y,GUAYANES I,GUAYANES I,NA,787-620-2277,NA,NA,NA,ROAD 906 KM 2.0 INT. GUAYANES,NA,YABUCOA,00767,US,PR,N,NA,NA,NA,YABUCOA,Yabucoa Municipio,NA
PR0005246,GUAYANES II,N,PR,02,NA,NA,I,31-JUL-15,CWS,NA,NA,GW,NA,L,796,1,1,1,2,3,Territory,GW,N,N,N,231,Y,GUAYANES II,GUAYANES II,NA,787-620-2277,NA,NA,NA,ROAD 906 KM 2.0 INT. GUAYANES,NA,YABUCOA,00767,US,PR,N,NA,NA,NA,YABUCOA,Yabucoa Municipio,NA
PR0005256,PASTO SECO,N,PR,02,01-01,12-31,N,08-JUN-06,CWS,NA,NA,SW,NA,L,1948,1,1,1,2,4,Territory,SW,N,N,N,487,Y,NA,NA,NA,787-620-2277,NA,NA,NA,CARR. 31 R 949 KM. 2.9,NA,LAS PIEDRAS,00771,US,PR,N,NA,NA,NA,"LAS PIEDRAS,PASTO SECO",Las Piedras Municipio,NA
PR0005266,PRASA,N,PR,02,01-01,12-31,I,01-JUN-88,CWS,NA,NA,SW,NA,S,560,1,1,1,2,3,Territory,SW,N,N,N,180,Y,NA,PRASA,NA,809-754-3232,NA,NA,NA,NA,ROAD 31 R 950 3.3KM,NAGUABO,00718,US,PR,NA,NA,NA,NA,HIGUERILLO,Naguabo Municipio,NA
PR0005276,PENA POBRE,N,PR,02,01-01,12-31,I,01-JAN-84,CWS,NA,NA,SW,NA,S,1884,1,1,1,2,4,Territory,SW,N,N,N,628,Y,NA,PENA POBRE,NA,809-754-3232,NA,NA,NA,NA,ROAD 31 R950 NAGUABO,NAGUABO,00718,US,PR,NA,NA,NA,NA,PENA POBRE,Naguabo Municipio,NA
PR0005326,ZARZAL,N,PR,02,01-01,12-31,N,08-JUN-06,CWS,NA,NA,SW,NA,L,900,1,1,1,2,3,Territory,SW,N,N,Y,225,Y,NA,NA,NA,787-620-2277,NA,NA,NA,CARR. 3 R 955 KM. 3.5,NA,RIO GRANDE,00745,US,PR,N,NA,NA,NA,RIO GRANDE,Rio Grande Municipio,NA
PR0005346,MOROVIS,N,PR,02,NA,NA,I,28-FEB-06,CWS,NA,NA,SW,NA,L,836,1,1,1,2,3,Territory,SW,N,N,N,209,Y,NA,NA,NA,787-620-2277,NA,NA,NA,CARR. 186 KM. 27.7,NA,RIO GRANDE,00745,US,PR,NA,NA,NA,NA,RIO GRANDE,Rio Grande Municipio,NA
PR0005366,CULEBRA,N,PR,02,01-01,12-31,N,05-JAN-10,CWS,NA,NA,SW,NA,L,3020,1,1,1,2,4,Territory,SW,N,N,Y,755,Y,NA,CULEBRA,NA,787-758-5757,NA,NA,NA,CULEBRA ISLAND,NA,CULEBRAS,00775,US,PR,N,NA,NA,NA,"CULEBRA,CULEBRAS",Culebra Municipio,NA
PR0005396,SAN SALVADOR,N,PR,02,NA,NA,I,05-MAY-14,CWS,NA,NA,SW,NA,L,1496,1,1,1,2,4,Territory,SW,N,N,N,396,Y,SAN SALVADOR,SAN SALVADOR,NA,787-620-2277,NA,NA,NA,CARR. 763,NA,CAGUAS,00725,US,PR,N,NA,NA,NA,"CAGUAS,SAN SALVADOR",Caguas Municipio,NA
PR0005406,MULITAS,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,GW,NA,L,408,1,1,1,1,2,Territory,GW,N,N,N,102,Y,NA,MULITAS,NA,809-758-5757,NA,NA,NA,CARR. 174,MUNICIPAL DEAD END,AGUAS BUENAS.,00703,US,PR,NA,NA,NA,NA,AGUAS BUENAS,Aguas Buenas Municipio,NA
PR0005426,HORMIGAS I,N,PR,02,NA,NA,I,17-FEB-09,CWS,NA,NA,GW,NA,L,5488,1,2,1,3,5,Territory,GW,N,N,N,1372,Y,HORMIGAS I,HORMIGAS I,NA,787-620-2277,NA,NA,NA,COMUNIDAD LAS HORMIGAS,CARR. 785 KM. 6.0 INT.,CAGUAS,00725,US,PR,NA,NA,NA,NA,CAGUAS,Caguas Municipio,NA
PR0005436,MARGARITA 2,N,PR,02,NA,NA,I,01-OCT-98,CWS,NA,NA,GW,NA,L,440,1,1,1,1,2,Territory,GW,N,N,N,110,Y,NA,MARGARITA 2,NA,787-758-5757,NA,NA,NA,CARR. 940 KM. 0.0,PITAHAYA WARD,LUQUILLO,00773,US,PR,NA,NA,NA,NA,LUQUILLO,Luquillo Municipio,NA
PR0005446,MAMEY II,N,PR,02,NA,NA,I,24-JAN-12,CWS,NA,NA,GW,NA,L,247,1,1,1,1,2,Territory,GW,N,N,N,739,Y,MAMEY II,MAMEY II,NA,787-620-2277,NA,NA,NA,CARR. 933  KM. 1.2,MAMEY WARD,GURABO,00778,US,PR,N,NA,NA,NA,GURABO,Gurabo Municipio,NA
PR0005476,JAGUEYES,N,PR,02,NA,NA,I,20-MAR-15,CWS,NA,NA,GW,NA,L,688,1,1,1,2,3,Territory,GW,N,N,N,104,Y,YABUCOA URBANO,YABUCOA URBANO,NA,NA,NA,NA,NA,P.O. BOX 7066,BO. OBRERO STATION,SANTURCE,00916,US,PR,N,NA,NA,NA,YABUCOA,Yabucoa Municipio,NA
PR0005477,ENRIQUE ORTEGA LA PLATA-METROP,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,SW,NA,S,363936,2,3,4,5,9,Territory,SW,N,N,N,72787,Y,NA,ENRIQUE ORTEGA LA PLATA-METROP,NA,809-754-3232,NA,NA,NA,NA,ROAD 827 7.0KM,TOA ALTA,NA,US,PR,NA,NA,NA,NA,TOA ALTA,Toa Alta Municipio,NA
PR0005497,PALOS BLANCOS,N,PR,02,01-01,12-31,I,01-MAY-81,CWS,NA,NA,SW,NA,NA,3230,1,1,1,2,4,Territory,SW,N,N,N,646,Y,NA,PALOS BLANCOS,NA,809-754-3232,NA,NA,NA,NA,ROAD 805 6.7KM,COROZAL,00643,US,PR,NA,NA,NA,NA,PALOS BLANCOS,Corozal Municipio,NA
PR0005506,PASTO SECO,N,PR,02,NA,NA,I,01-OCT-10,CWS,NA,NA,GW,NA,L,754,1,1,1,2,3,Territory,GW,N,N,N,188,Y,PASTO SECO,PASTO SECO,NA,NA,NA,NA,NA,P.O. BOX 7066,BO. OBRERO STATION,SANTURCE,00916,US,PR,N,NA,NA,NA,LAS PIEDRAS,Las Piedras Municipio,NA
PR0005507,NARANJITO URBANO,N,PR,02,NA,NA,I,01-FEB-04,CWS,NA,NA,SW,NA,L,16820,2,2,2,4,6,Territory,SW,N,N,N,4205,Y,NA,NA,NA,787-620-2277,NA,NA,NA,CARR.164 825 INT.,NA,NARANJITO,00719,US,PR,NA,NA,NA,NA,NARANJITO,Naranjito Municipio,NA
PR0005516,LA LAURA,N,PR,02,NA,NA,I,22-JAN-09,CWS,NA,NA,GW,NA,L,995,1,1,1,2,3,Territory,GW,N,N,N,334,Y,LA LAURA,LA LAURA,NA,787-620-2277,NA,NA,NA,BO OBRERO STATION,PO BOX 7066,SANTURCE,00916,US,PR,NA,NA,NA,NA,Not Reported,Yabucoa Municipio,NA
PR0005526,PALMA ROYALE,N,PR,02,NA,NA,I,20-MAR-15,CWS,NA,NA,GW,NA,L,1776,1,1,1,2,4,Territory,GW,N,N,N,240,Y,AUTORIDAD DE ACUEDUCTO Y ALCANTARILLADOS,AUTORIDAD DE ACUEDUCTO Y ALCANTARILLADOS,NA,787-620-2277,NA,787-763-6326,NA,AVE. BARBOSA # 604,PO BOX 7066,SAN JUAN,00916-7066,US,PR,N,NA,NA,NA,LAS PIEDRAS,Las Piedras Municipio,NA
PR0005527,ANONES,N,PR,02,NA,NA,I,23-NOV-09,CWS,NA,NA,SW,NA,L,2376,1,1,1,2,4,Territory,SW,N,N,N,594,Y,ANONES,ANONES,NA,787-620-2277,NA,NA,NA,CARR. 814 KM. 5.1,NA,NARANJITO,00719,US,PR,N,NA,NA,NA,"ANONES,NARANJITO",Naranjito Municipio,NA
PR0005547,DAJAOS,N,PR,02,01-01,12-31,I,01-NOV-97,CWS,NA,NA,SW,NA,L,4464,1,2,1,3,5,Territory,SW,N,N,N,1116,Y,NA,DAJAOS,NA,787-758-5757,NA,NA,NA,CARR.812 KM. 3.6,NA,BAYAM N,00956,US,PR,NA,NA,NA,NA,BAYAM N,Bayamon Municipio,NA
PR0005567,VEGA ALTA URBANO,N,PR,02,01-01,12-31,I,01-NOV-97,CWS,NA,NA,GW,NA,L,34559,2,2,2,4,6,Territory,GW,N,N,N,8640,Y,NA,VEGA ALTA URBANO,NA,787-758-5757,NA,NA,NA,VEGA ALTA PUEBLO,NA,VEGA ALTA,00692,US,PR,NA,NA,NA,NA,VEGA ALTA,Vega Alta Municipio,NA
PR0005577,MARICAO,N,PR,02,NA,NA,I,06-FEB-01,CWS,NA,NA,SW,NA,L,4572,1,2,1,3,5,Territory,SW,N,N,N,1143,Y,NA,NA,NA,787-620-2277,NA,NA,NA,CARR. 647 KM.4.7,NA,VEGA ALTA,00692,US,PR,NA,NA,NA,NA,VEGA ALTA,Vega Alta Municipio,NA
PR0005617,VIVONI,N,PR,02,NA,NA,I,01-MAY-12,CWS,NA,NA,GW,NA,L,1567,1,1,1,2,4,Territory,GW,N,N,N,432,Y,VIVONI,VIVONI,NA,787-620-2277,NA,NA,NA,ROAD 677 KM 3.5,NA,DORADO,00646,US,PR,N,NA,NA,NA,DORADO,Dorado Municipio,NA
PR0005627,LA VIRGENCITA,N,PR,02,NA,NA,I,19-AUG-13,CWS,NA,NA,GW,NA,L,30035,2,2,2,4,6,Territory,GW,N,N,N,16552,Y,LA VIRGENCITA,LA VIRGENCITA,NA,787-620-2277,NA,NA,NA,RAMAL 165 HM 6,NA,TOA ALTA,00949,US,PR,N,NA,NA,NA,TOA ALTA,Toa Alta Municipio,NA
PR0005637,LOS REYES,N,PR,02,NA,NA,I,01-OCT-11,CWS,NA,NA,GW,NA,L,1272,1,1,1,2,4,Territory,GW,N,N,N,163,Y,LOS REYES,LOS REYES,NA,787-620-2277,NA,NA,NA,CARR. 780 KM 1.4,NA,COMERIO,00782,US,PR,N,NA,NA,NA,COMERIO,Comerio Municipio,NA
PR0005737,NEGROS,N,PR,02,01-01,12-31,I,01-JAN-96,CWS,NA,NA,SW,NA,S,1550,1,1,1,2,4,Territory,SW,N,N,N,310,Y,NA,NEGROS,NA,809-758-5757,NA,NA,NA,NA,ROAD 805 KM2.5,COROZAL,00643,US,PR,NA,NA,NA,NA,COROZAL,Corozal Municipio,NA
PR0111021,JUAN RAMON LOUBRIEL,N,PR,02,01-01,12-31,I,21-NOV-99,NTNCWS,NA,NA,GW,NA,P,770,1,1,1,2,3,Territory,GW,N,N,N,193,Y,NA,NA,NA,787-786-6400,NA,NA,NA,CARR # 2 ESQ. CARR. 174,FRENTE A VIRGILIO DAVILA,BAYAMON,00619,US,PR,NA,NA,NA,NA,BAYAMON,Bayamon Municipio,NA
PR0115021,TITANGEL,N,PR,02,01-01,12-31,I,01-NOV-97,NTNCWS,NA,NA,GW,NA,P,50,1,1,1,1,1,Territory,GW,N,N,N,13,Y,NA,TITANGEL,NA,787-876-6730,NA,NA,NA,BO. CUBUY,CARR. 186 KM. 7.9,CANOVANAS,00729,US,PR,NA,NA,NA,NA,CAN VANAS,Canovanas Municipio,NA
PR0115041,FINCA LOS MATOS,N,PR,02,NA,NA,I,01-OCT-99,CWS,NA,NA,SW,NA,P,64,1,1,1,1,1,Territory,SW,N,N,N,16,Y,NA,NA,NA,787-886-2523,NA,NA,NA,BO. PALMASOLA,CARR. 957 KM. 3.4,CANOVANAS,00729,US,PR,NA,NA,NA,NA,CANOVANAS,Canovanas Municipio,NA
PR0115051,CEFERINO PASTOR RIVERA,N,PR,02,NA,NA,I,08-MAY-97,CWS,NA,NA,GW,NA,P,72,1,1,1,1,1,Territory,GW,N,N,N,18,Y,NA,CEFERINO PASTOR RIVERA,NA,787-886-2312,NA,NA,NA,CARR. 957. KM. 3.4 INT.,BO.PALMASOLA SECTOR EL HOYO,CANOVANAS,00729,US,PR,NA,NA,NA,NA,CANOVANAS,Canovanas Municipio,NA
PR0115061,"KIKUET EMPRESAS YNVINA, INC.",N,PR,02,01-01,12-31,I,11-SEP-15,NTNCWS,NA,NA,GW,NA,L,105,1,1,1,1,2,Territory,GW,N,N,N,1,Y,KIKUET EMRESAS,KIKUET EMRESAS,NA,787-876-9199,NA,787-876-9199,NA,CARR. PR 185 KM 0.8 URB. INDUSTRIAL,NA,CANOVANAS,00729,US,PR,NA,NA,NA,NA,CANOVANAS,Canovanas Municipio,NA
PR0116011,FACILIDADES CERAP,N,PR,02,01-01,12-31,I,10-AUG-07,NTNCWS,NA,NA,SW,NA,P,225,1,1,1,1,2,Territory,SW,N,N,N,56,Y,FACILIDADES CERAP,FACILIDADES CERAP,NA,787-253-8555,NA,NA,NA,AGENCIA FEDERAL DE AVIACION,5000 CARR. # 190,CAROLINA,00984,US,PR,NA,NA,NA,NA,CAROLINA,Carolina Municipio,NA
PR0116021,LILLY DEL CARIBE PR-I,N,PR,02,01-01,12-31,I,25-AUG-09,NTNCWS,NA,NA,SW,NA,P,493,1,1,1,1,2,Territory,SW,N,N,N,123,Y,LILLY DEL CARIBE PR-I,LILLY DEL CARIBE PR-I,NA,787-257-5555,NA,NA,NA,CARR. # 3 KM. 12.6,NA,CAROLINA,00985,US,PR,NA,NA,NA,NA,CAROLINA,Carolina Municipio,NA
PR0116031,LILLY DEL CARIBE PR-II,N,PR,02,01-01,12-31,I,17-AUG-07,NTNCWS,NA,NA,SW,NA,P,200,1,1,1,1,2,Territory,SW,N,N,N,50,Y,LILLY DEL CARIBE PR-II,LILLY DEL CARIBE PR-II,NA,787-257-5555,NA,NA,NA,CARR. # 3 KM. 12.6,NA,CAROLINA,00985,US,PR,NA,NA,NA,NA,CAROLINA,Carolina Municipio,NA
PR0132011,POZO ROOSEVELT 1500,N,PR,02,01-01,01-02,I,01-JAN-96,NTNCWS,NA,NA,GW,NA,P,1000,1,1,1,2,3,Territory,GW,N,N,N,250,Y,NA,POZO ROOSEVELT 1500,NA,809-749-3609,NA,NA,NA,AVE. ROOSEVELT # 1500,NA,GUAYNABO,00965,US,PR,NA,NA,NA,NA,GUAYNABO,Guaynabo Municipio,NA
